word,pinyin,meaning
阿姨,āyí,"คุณป้า,คุณน้า"
矮,ǎi,เตี้ย
爱,ài,รัก
爱好,àihào,งานอดิเรก
安静,ānjìng,เงียบ
八,bā,แปด
把,bǎ,เอา
爸爸,bàba,พ่อ
吧,ba,"เถอะ,นะ"
白,bái,ขาว
百,bǎi,ร้อย
班,bān,ชั้นเรียน
搬,bān,ย้าย
半,bàn,ครึ่ง
办法,bànfǎ,"วิธี,วิธีการ"
办公室,bàngōngshì,สำนักงาน
帮忙,bāngmáng,ช่วยเหลือ
帮助,bāngzhù,"ช่วย,ช่วยเหลือ"
包,bāo,"ถุง,กระเป๋า,ห่อ"
饱,bǎo,อิ่ม
报纸,bàozhǐ,หนังสือพิมพ์
杯子,bēizi,แก้วน้ำ
北方,běifāng,ทางเหนือ
北京,běijīng,ปักกิ่ง
被,bèi,ถูก 
本,běn,เล่ม
鼻子,bízi,จมูก
比,bǐ,กว่า
比较,bǐjiào,ค่อนข้าง
比赛,bǐsài,แข่งขัน
必须,bìxū,จำเป็นต้อง
变化,biànhuà,เปลี่ยนแปลง
表示,biǎoshì,แสดง
表演,biǎoyǎn,"แสดง,การแสดง"
别,bié,อย่า
别人,biéren,คนอื่น
宾馆,bīnguǎn,โรงแรม
冰箱,bīngxiāng,ตู้เย็น
不客气,búkèqi,ไม่เป็นไร
不,bù,ไม่
才,cái,"แค่, เพิ่ง"
菜,cài,"ผัก,อาหาร"
菜单,càidān,เมนู
参加,cānjiā,เข้าร่วม
草,cǎo,หญ้า
层,céng,ชั้น
茶,chá,ชา
差,chà,ขาด
长,cháng,ยาว
唱歌,chànggē,ร้องเพลง
超市,chāoshì,ซุปเปอร์มาร์เก็ต
衬衫,chènshān,เสื้อเชิ้ต
成绩,chéngjì,"คะแนน,ผล"
城市,chéngshì,เมือง
吃,chī,กิน
迟到,chídào,สาย
出,chū,ออก
出现,chūxiàn,ปรากฏ
出租车,chūzūchē,แท็กซี่
厨房,chúfáng,ห้องครัว
除了,chúle,นอกจาก
穿,chuān,ใส่ สวม
船,chuán,เรือ
春,chūn,ฤดูใบไม้ผลิ
词语,cíyǔ,คำและวลี
次,cì,ครั้ง
聪明,cōngming,ฉลาด
从,cóng,จาก
错,cuò,ผิด
打电话,dǎdiànhuà,โทรศัพท์
打扫,dǎsǎo,ทำความสะอาด
打算,dǎsuàn,วางแผน
大,dà,ใหญ่
大家,dàjiā,ทุกคน
带,dài,"ถือติดตัว,พก"
担心,dānxīn,กังวล
蛋糕,dàngāo,เค้ก
但是,dànshì,แต่
当然,dāngrán,แน่นอน
到,dào,ถึง
地,de,"อย่าง,ด้วย"
的,de,ของ
得,de,"อย่าง,ได้"
灯,dēng,ไฟ
等,děng,รอ
低,dī,ต่ำ
弟弟,dìdi,น้องชาย
地方,dìfang,สถานที่
地铁,dìtiě,รถไฟฟ้าใต้ดิน
地图,dìtú,แผนที่
第一,dìyī,ที่หนึ่ง
点,diǎn,โมง
电脑,diànnǎo,คอมพิวเตอร์
电视,diànshì,โทรทัศน์
电梯,diàntī,ลิฟท์
电影,diànyǐng,ภาพยนตร์
东,dōng,ทิศตะวันออก
东西,dōngxi,สิ่งของ
冬,dōng,ฤดูหนาว
懂,dǒng,เข้าใจ
动物,dòngwù,สัตว์
都,dōu,ทั้งหมด
读,dú,"อ่าน,เรียน"
短,duǎn,สั้น
段,duàn,"ตอน,ช่วง"
锻炼,duànliàn,"ฝึกฝน,บริหาร"
对,duì,ถูก，ต่อ
对不起,duìbuqǐ,ขอโทษ
多,duō,มาก
多少,duōshao,เท่าไร
饿,è,หิว
而且,érqiě,และ
儿子,érzi,ลูกชาย
耳朵,ěrduo,หู
二,èr,สอง
发烧,fāshāo,เป็นไข้
发现,fāxiàn,ค้นพบ
饭馆,fànguǎn,ร้านอาหาร
方便,fāngbiàn,สะดวกสบาย
房间,fángjiān,ห้อง
放,fàng,"วาง,วางไว้"
放心,fàngxīn,"วางใจ,หมดห่วง"
非常,fēicháng,มาก
飞机,fēijī,เครื่องบิน
分,fēn,"แบ่ง,แยก"
分钟,fēnzhōng,นาที
服务员,fúwùyuán,พนักงาน
附近,fùjìn,"บริเวณใกล้เคียง,แถวนี้"
复习,fùxí,ทบทวน
干净,gānjìng,สะอาด
敢,gǎn,กล้า
感冒,gǎnmào,เป็นหวัด
刚才,gāngcái,เพิ่งจะ
高,gāo,สูง
高兴,gāoxìng,ดีใจ
告诉,gàosu,บอก
哥哥,gēge,พี่ชาย
个,gè,"อัน,ชิ้น"
给,gěi,ให้
跟,gēn,กับ
根据,gēnjù,"ตาม,ตามที่"
更,gèng,มากกว่า
公共汽车,gōnggòngqìchē,รถเมล์
公斤,gōngjīn,กิโลกรัม
公司,gōngsī,บริษัท
公园,gōngyuán,สวนสาธารณะ
工作,gōngzuò,ทำงาน
狗,gǒu,สุนัข
故事,gùshi,นิทาน
刮风,guāfēng,ลมพัด
关,guān,ปิด
关系,guānxì,ความสัมพันธ์
关心,guānxīn,"ใส่ใจ,ห่วงใย"
关于,guānyú,เกี่ยวกับ
贵,guì,แพง
国家,guójiā,ประเทศ
果汁,guǒzhī,น้ำผลไม้
过去,guòqù,แต่ก่อน
过,guo,เคย
还,hái,ยังคง
还是,háishì,หรือ
孩子,háizi,เด็ก
害怕,hàipà,กลัว
汉语,hànyǔ,ภาษาจีน
好,hǎo,ดี
好吃,hǎochī,อร่อย
号,hào,หมายเลข
喝,hē,ดื่ม
和,hé,และ
河,hé,แม่น้ำ
黑,hēi,ดำ
黑板,hēibǎn,กระดานดำ
很,hěn,มาก
红,hóng,แดง
后面,hòumiàn,ด้านหลัง
护照,hùzhào,หนังสือเดินทาง
花 （动）,huā,ดอกไม้
花园,huāyuán,สวนดอกไม้
画,huà,วาด
坏,huài,"เสีย,พัง"
欢迎,huānyíng,ยินดีต้อนรับ
还,huán,คืน
环境,huánjìng,สภาพแวดล้อม
换,huàn,"เปลี่ยน,แลก"
黄,huáng,เหลือง
会,huì,สามารถ
会议,huìyì,การประชุม
火车站,huǒchēzhàn,สถานีรถไฟ
或者,huòzhě,"หรือ,หรือไม่ก็"
机场,jīchǎng,สนามบิน
鸡蛋,jīdàn,ไข่
几乎,jīhū,เกือบจะ
机会,jīhuì,โอกาส
极,jí,ที่สุด
几,jǐ,กี่
记得,jìde,จำได้
季节,jìjié,ฤดูกาล
家,jiā,บ้าน
检查,jiǎnchá,ตรวจสอบ
简单,jiǎndān,ง่าย
件,jiàn,"ตัว,ชิ้น"
健康,jiànkāng,แข็งแรง
见面,jiànmiàn,พบเจอ
讲,jiǎng,"พูด,เล่า"
教,jiāo,สอน
角,jiǎo,หน่วนเงินของจีน
脚,jiǎo,เท้า
叫,jiào,เรียก
教室,jiàoshì,ห้องเรียน
接,jiē,รับ
街道,jiēdào,ถนน
结婚,jiéhūn,แต่งงาน
结束,jiéshù,"จบ,สิ้นสุด"
节目,jiémù,รายการ
节日,jiérì,เทศกาล
姐姐,jiějie,พี่สาว
解决,jiějué,แก้ไข
借,jiè,"ยืม,ให้ยืม"
介绍,jièshào,แนะนำ
今天,jīntiān,วันนี้
进,jìn,เข้า
近,jìn,ใกล้
经常,jīngcháng,บ่อยๆ
经过,jīngguò,ผ่าน 
经理,jīnglǐ,ผู้จัดการ
九,jiǔ,เก้า
久,jiǔ,ยาว
旧,jiù,เก่า
就,jiù,ก็
举行,jǔxíng,จัดงาน
句子,jùzi,ประโยค
觉得,juéde,"คิดว่า,รู้สึกว่า"
决定,juédìng,"ตัดสินใจ,การตัดสินใจ"
咖啡,kāfēi,กาแฟ
开,kāi,เปิด
开始,kāishǐ,เริ่ม
看,kàn,"ดู,อ่าน,มอง"
看见,kànjiàn,มองเห็น
考试,kǎoshì,สอบ
渴,kě,"หิวน้ำ,กระหายน้ำ"
可爱,kě’ài,น่ารัก
可能,kěnéng,อาจจะ
可以,kěyǐ,ได้
刻,kè,สิบห้านาที
课,kè,"วิชาเรียน,บทเรียน"
客人,kèrén,"แขก,ผู้มาเยี่ยม"
空调,kōngtiáo,เครื่องปรับอากาศ
口,kǒu,ปาก
哭,kū,ร้องไห้
裤子,kùzi,กางเกง
块,kuài,หน่วยเงินจีน
快,kuài,เร็ว
快乐,kuàilè,มีความสุข
筷子,kuàizi,ตะเกียบ
来,lái,มา
蓝,lán,"น้ำเงิน,ฟ้า"
老,lǎo,"แก่,เก่า"
老师,lǎoshī,คุณครู
了,le,แล้ว
累,lèi,เหนื่อย
冷,lěng,หนาว
离,lí,ห่างจาก
离开,líkāi,ออกจาก
里,lǐ,ใน
礼物,lǐwù,ของขวัญ
历史,lìshǐ,ประวัติศาสตร์
脸,liǎn,หน้า
练习,liànxí,ฝึกฝน
两,liǎng,สอง
辆,liàng,คัน
了解,liǎojiě,เข้าใจ
邻居,línjū,เพื่อนบ้าน
零,líng,ศูนย์
六,liù,หก
楼,lóu,ชั้น
路,lù,ถนน
旅游,lǚyóu,ท่องเที่ยว
绿,lǜ,เขียว
妈妈,māma,แม่
马,mǎ,ม้า
马上,mǎshàng,ทันทีทันใด
吗,ma,ไหม
买,mǎi,ซื้อ
卖,mài,ขาย
满意,mǎnyì,พอใจ
慢,màn,ช้า
忙,máng,ยุ่ง
猫,māo,แมว
帽子,màozi,หมวก
没,méi,ไม่
没关系,méiguānxi,ไม่เป็นไร
每,měi,แต่ละ
妹妹,mèimei,น้องสาว
门,mén,ประตู
米,mǐ,ข้าวสาร
米饭,mǐfàn,ข้าว
面包,miànbāo,ขนมปัง
面条,miàntiáo,ก๋วยเตี๋ยว
明白,míngbai,เข้าใจ
明天,míngtiān,พรุ่งนี้
名字,míngzi,ชื่อ
拿,ná,นำมา
哪 ,nǎ,ไหน
那 ,nà,นั่น
奶奶,nǎinai,คุณย่า
南,nán,ใต้
男人,nánrén,ผู้ชาย
难,nán,ยาก
难过,nánguò,รู้สึกเสียใจ
呢,ne,ล่ะ
能,néng,สามารถ
你,nǐ,เธอ คุณ
年,nián,ปี
年级,niánjí,ชั้นปี
年轻,niánqīng,หนุ่มสาว
鸟,niǎo,นก
您,nín,ท่าน
牛奶,niúnǎi,นมวัว
努力,nǔlì,ขยัน
女儿,nǚ’ér,ลูกสาว
女人,nǚrén,ผู้หญิง
爬山,páshān,ปีนเขา
盘子,pánzi,จาน
旁边,pángbiān,ด้านข้าง
胖,pàng,อ้วน
跑步,pǎobù,วิ่ง
朋友,péngyou,เพื่อน
啤酒,píjiǔ,เบียร์
便宜,piányi,ถูก
票,piào,ตั๋ว
漂亮,piàoliang,สวย
苹果,píngguǒ,แอปเปิ้ล
葡萄,pútao,องุ่น
普通话,pǔtōnghuà,ภาษาจีนกลาง
七,qī,เจ็ด
妻子,qīzi,ภรรยา
其实,qíshí,จริงๆแล้ว
其他,qítā,อื่นๆ
骑,qí,ขี่
奇怪,qíguài,แปลก
起床,qǐchuáng,ตื่นนอน
千,qiān,พัน
铅笔,qiānbǐ,ดินสอ
钱,qián,เงิน
前面,qiánmiàn,ด้านหน้า
清楚,qīngchu,ชัดเจน
晴,qíng,"แจ่มใส,ปลอดโปร่ง"
请,qǐng,โปรด กรุณา
秋,qiū,ฤดูใบไม้ร่วง
去,qù,ไป
去年,qùnián,ปีที่แล้ว
裙子,qúnzi,กระโปรง
然后,ránhòu,จากนั้น
让,ràng,ให้
热,rè,ร้อน
热情,rèqíng,อบอุ่น
人,rén,คน
认识,rènshi,รู้จัก
认为,rènwéi,คิดว่า
认真,rènzhēn,จริงจัง
日,rì,วัน
容易,róngyì,ง่าย
如果,rúguǒ,"ถ้า, ถ้าหากว่า"
三,sān,สาม
伞,sǎn,ร่ม
商店,shāngdiàn,ร้านค้า
上,shàng,บน
上班,shàngbān,ไปทำงาน
上网,shàngwǎng,เล่นอินเตอร์เน็ต
上午,shàngwǔ,ตอนเช้า
少,shǎo,น้อย
谁,shéi,ใคร
身体,shēntǐ,ร่างกาย
什么,shénme,อะไร
生病,shēngbìng,ป่วย
生气,shēngqì,โกรธ
生日,shēngrì,วันเกิด
声音,shēngyīn,เสียง
十,shí,สิบ
时候,shíhou,"เวลา,ตอนที่"
时间,shíjiān,เวลา
使,shǐ,"ใช้,ใช้สอย"
是,shì,"ใช่,คือ,เป็น"
世界,shìjiè,โลก
事情,shìqing,"เรื่องราว,ธุระ"
手表,shǒubiǎo,นาฬิกาข้อมือ
手机,shǒujī,มือถือ
瘦,shòu,ผอม
书,shū,หนังสือ
舒服,shūfu,"สบาย,รู้สึกสบาย"
叔叔,shūshu,อา
树,shù,ต้นไม้
数学,shùxué,คณิตศาสตร์
刷牙,shuāyá,แปรงฟัน
双,shuāng,คู่
水,shuǐ,น้ำ
水果,shuǐguǒ,ผลไม้
水平,shuǐpíng,ระดับความรู้
睡觉,shuìjiào,นอน
说话,shuōhuà,พูด
司机,sījī,คนขับรถ
四,sì,สี่
送,sòng,ให้
虽然,suīrán,ถึงแม้ว่า
岁,suì,ขวบ
所以,suǒyǐ,ดังนั้น
他,tā,เขา
她,tā,เธอ
它,tā,มัน
太,tài,ค่อนข้าง
太阳,tàiyáng,พระอาทิตย์
糖,táng,น้ำตาล
特别,tèbié,เป็นพิเศษ
疼,téng,เจ็บ
踢足球,tīzúqiú,เตะฟุตบอล
踢,tī,เตะ
提高,tígāo,เพิ่มขึ้น
体育,tǐyù,กีฬา
天气,tiānqì,อากาศ
甜,tián,หวาน
条,tiáo,ตัว เส้น
跳舞,tiàowǔ,เต้น
听,tīng,ฟัง
同事,tóngshì,เพื่อนร่วมงาน
同学,tóngxué,เพื่อนร่วมชั้นเรียน
同意,tóngyì,เห็นด้วย
头发,tóufa,ผม
突然,tūrán,ทันทีทันใด
图书馆,túshūguǎn,ห้องสมุด
腿,tuǐ,ขา
外,wài,"นอก,ข้างนอก"
完,wán,เสร็จ
完成,wánchéng,สำเร็จ
玩,wán,เล่น
碗,wǎn,ชาม
晚上,wǎnshang,ตอนกลางคืน
万,wàn,หมื่น
忘记,wàngjì,ลืม
喂,wèi,ฮัลโหล
为,wèi,"เพื่อ,ต่อให้"
为了,wèile,"เพื่อ,เพื่อว่า"
为什么,wèishénme,ทำไม
位,wèi,ท่าน 
文化,wénhuà,วัฒนธรรม
问,wèn,ถาม
问题,wèntí,คำถาม
我,wǒ,ฉัน
我们,wǒmen,พวกเรา
五,wǔ,ห้า
西,xī,ทิศตะวันตก
西瓜,xīguā,แตงโม
希望,xīwàng,หวัง
习惯,xíguàn,เคยชิน
洗,xǐ,ล้าง
洗手间,xǐshǒujiān,ห้องน้ำ
洗澡,xǐzǎo,อาบน้ำ
喜欢,xǐhuan,ชอบ
下,xià,ล่าง
下午,xiàwǔ,ตอนบ่าย
下雨,xiàyǔ,ฝนตก
夏,xià,ฤดูร้อน
先,xiān,"ก่อน,หน้า"
先生,xiānsheng,คุณผู้ชาย
现在,xiànzài,ตอนนี้
香蕉,xiāngjiāo,กล้วย
相同,xiāngtóng,เหมือนกัน
相信,xiāngxìn,เชื่อ
想,xiǎng,"คิด,คิดถึง"
向,xiàng,"ไปยัง,ไปสู่"
像,xiàng,"เหมือน,คล้าย"
小,xiǎo,เล็ก
小姐,xiǎojiě,คุณผู้หญิง
小时,xiǎoshí,ชั่วโมง
小心,xiǎoxīn,ระวัง
笑,xiào,หัวเราะ
校长,xiàozhǎng,อาจารย์ใหญ่
些,xiē,เหล่า
鞋,xié,รองเท้า
写,xiě,เขียน
谢谢,xièxie,ขอบคุณ
新,xīn,ใหม่
新闻,xīnwén,ข่าว
新鲜,xīnxiān,สดใหม่
信,xìn,จดหมาย
星期,xīngqī,สัปดาห์
行李箱,xínglixiāng,กระเป๋าเดินทาง
姓,xìng,นามสกุล
兴趣,xìngqù,"สนใจ,น่าสนใจ"
熊猫,xióngmāo,หมีแพนด้า
休息,xiūxi,พักผ่อน
需要,xūyào,จำเป็น
选择,xuǎnzé,เลือก
学生,xuésheng,นักเรียน
学习,xuéxí,เรียน
学校,xuéxiào,โรงเรียน
雪,xuě,หิมะ
颜色,yánsè,สี
眼镜,yǎnjìng,แว่นตา
眼睛,yǎnjing,ตา
羊肉,yángròu,"เนื้อแพะ,เนื้อแกะ"
要求,yāoqiú,"ข้อร้อง,สิ่งที่ขอร้อง"
药,yào,ยา
要,yào,ต้องการ
爷爷,yéye,ปู่
也,yě,ก็...เหมือนกัน
一,yī,หนึ่ง
衣服,yīfu,เสื้อผ้า
医生,yīshēng,หมอ
医院,yīyuàn,โรงพยาบาล
一定,yídìng,แน่นอน
一共,yígòng,รวมทั้งหมด
一会儿,yíhuìr,สักครู่
一样,yíyàng,เหมือนกัน
以后,yǐhòu,หลังจากนี้ไป
以前,yǐqián,ก่อนหน้านี้
以为,yǐwéi,"คิดว่า,เข้าใจว่า"
已经,yǐjīng,เรียบร้อยแล้ว
椅子,yǐzi,เก้าอี้
一般,yìbān,"ทั่วไป,ธรรมดา"
一起,yìqǐ,ด้วยกัน
一直,yìzhí,"ตลอด,ตรงไป"
意思,yìsi,ความหมาย
阴,yīn,มืดครึ้ม
因为,yīnwèi,เพราะว่า
音乐,yīnyuè,ดนตรี
银行,yínháng,ธนาคาร
应该,yīnggāi,ควร
影响,yǐngxiǎng,ส่งผลกระทบ
用,yòng,ใช้
游戏,yóuxì,เกมส์
游泳,yóuyǒng,ว่ายน้ำ
有,yǒu,มี
有名,yǒumíng,มีชื่อเสียง
又,yòu,"อีก,อีกครั้ง"
右边,yòubian,ด้านขวา
鱼,yú,ปลา
遇到,yùdào,"พบ,ประสบ"
元,yuán,หยวน
远,yuǎn,ไกล
愿意,yuànyì,เต็มใจ
月,yuè,เดือน
月亮,yuèliang,พระจันทร์
云,yún,เมฆ
运动,yùndòng,ออกกำลังกาย
在,zài,ที่
再,zài,อีกครั้ง
再见,zàijiàn,ลาก่อน
早上,zǎoshang,ตอนเช้า
怎么,zěnme,อย่างไร
怎么样,zěnmeyàng,เป็นอย่างไน
站,zhàn,ยืน
长,zhǎng,เติบโต
丈夫,zhàngfu,สามี
着急,zháojí,กระวนกระวายใจ
找,zhǎo,หา
照顾,zhàogù,ดูแล
照片,zhàopiàn,รูปถ่าย
这 ,zhè,"นี่,ที่นี่"
真,zhēn,จริง
正在,zhèngzài,กำลัง
知道,zhīdào,"รู้,ทราบ"
只,zhǐ,"แค่,เพียงแค่"
中国,zhōngguó,ประเทศจีน
中间,zhōngjiān,ตรงกลาง
中午,zhōngwǔ,ตอนเที่ยง
终于,zhōngyú,ในที่สุด
种,zhǒng,"ชนิด,ประเภท"
重要,zhòngyào,สำคัญ
周末,zhōumò,วันสุดสัปดาห์
主要,zhǔyào,"หลัก,สำคัญ"
住,zhù,อาศัย
祝,zhù,"ขอให้,อวยพรให้"
注意,zhùyì,ระมัดระวัง
准备,zhǔnbèi,เตรียมตัว
桌子,zhuōzi,โต๊ะ
字,zì,ตัวอักษร
字典,zìdiǎn,พจนานุกรม
自己,zìjǐ,ด้วยตัวเอง
自行车,zìxíngchē,จักรยาน
总是,zǒngshì,"ประจำ,สม่ำเสมอ"
走,zǒu,เดิน
最,zuì,ที่สุด
最近,zuìjìn,เร็วๆนี้
昨天,zuótiān,เมื่อวานนี้
左边,zuǒbian,ด้านซ้าย
坐,zuò,นั่ง
做,zuò,ทำ
作业,zuòyè,การบ้าน
作用,zuòyòng,ผล 
